"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3305","validLoginTC","Default Suite","2026-06-30","passed","2026-06-30","com.demoblaze.tests.LoginTest","DemoBlaze","com.demoblaze.tests.LoginTest","validLoginTC"
"","7471","verifyCartFunctionality","Default Suite","2026-06-28","passed","2026-06-28","com.demoblaze.tests.CartTest","AutomationExercise","com.demoblaze.tests.CartTest","verifyCartFunctionality"
"","862","inValidLoginWithEmptyPasswordFieldTC","Default Suite","2026-06-30","passed","2026-06-30","com.demoblaze.tests.LoginTest","DemoBlaze","com.demoblaze.tests.LoginTest","inValidLoginWithEmptyPasswordFieldTC"
"","818","inValidLoginWithEmptyUserFieldTC","Default Suite","2026-06-30","passed","2026-06-30","com.demoblaze.tests.LoginTest","DemoBlaze","com.demoblaze.tests.LoginTest","inValidLoginWithEmptyUserFieldTC"
"","853","verifyUnsuccessfulRegisterWithEmptyPasswordField","Default Suite","2026-06-28","passed","2026-06-28","com.demoblaze.tests.RegisterTest","AutomationExercise","com.demoblaze.tests.RegisterTest","verifyUnsuccessfulRegisterWithEmptyPasswordField"
"","1054","doubleClick","Default Suite","2026-06-27","passed","2026-06-27","tests","AutomationExercise","tests","doubleClick"
"","9058","verifyAddToCartFunctionality","Default Suite","2026-06-28","failed","2026-06-28","com.demoblaze.tests.ProductTest","AutomationExercise","com.demoblaze.tests.ProductTest","verifyAddToCartFunctionality"
"","842","verifyUnsuccessfulRegisterWithEmptyUserField","Default Suite","2026-06-28","passed","2026-06-28","com.demoblaze.tests.RegisterTest","AutomationExercise","com.demoblaze.tests.RegisterTest","verifyUnsuccessfulRegisterWithEmptyUserField"
"","1472","verifySuccessfulRegisterWithVailData","Default Suite","2026-06-28","passed","2026-06-28","com.demoblaze.tests.RegisterTest","AutomationExercise","com.demoblaze.tests.RegisterTest","verifySuccessfulRegisterWithVailData"
"","423","succefulLogin","Default Suite","2026-06-27","passed","2026-06-27","tests","AutomationExercise","tests","succefulLogin"
"","1466","inValidLOginWithUnMatchingPasswordTC","Default Suite","2026-06-30","passed","2026-06-30","com.demoblaze.tests.LoginTest","DemoBlaze","com.demoblaze.tests.LoginTest","inValidLOginWithUnMatchingPasswordTC"
"","3120","verifyProductDetails","Default Suite","2026-06-28","passed","2026-06-28","com.demoblaze.tests.ProductTest","AutomationExercise","com.demoblaze.tests.ProductTest","verifyProductDetails"
"","9368","verifyEndToEndFlow","Default Suite","2026-06-30","passed","2026-06-30","com.demoblaze.tests.E2e","DemoBlaze","com.demoblaze.tests.E2e","verifyEndToEndFlow"
"","1302","verifyUnSuccessfulRegisterWithAlreadyUsedUser","Default Suite","2026-06-28","passed","2026-06-28","com.demoblaze.tests.RegisterTest","AutomationExercise","com.demoblaze.tests.RegisterTest","verifyUnSuccessfulRegisterWithAlreadyUsedUser"
